item,abc,xyz,abc_xyz
sku26161,A,Z,AZ
sku18199,A,Z,AZ
sku21947,A,Z,AZ
sku28128,A,Z,AZ
sku8342,A,Z,AZ
sku29626,A,Z,AZ
sku9018,A,Z,AZ
sku9471,A,Z,AZ
sku25074,A,Z,AZ
sku27791,A,Z,AZ
sku15054,A,Z,AZ
sku18190,A,Z,AZ
sku5485,A,Z,AZ
sku30530,A,Z,AZ
sku15843,A,Z,AZ
sku19100,A,Z,AZ
sku5963,A,Z,AZ
sku28360,A,Z,AZ
sku15562,A,Z,AZ
sku28905,A,Z,AZ
sku5289,A,Z,AZ
sku1895,A,Y,AY
sku28010,A,Z,AZ
sku27161,A,X,AX
sku24968,A,X,AX
sku29549,A,Z,AZ
sku3068,A,Z,AZ
sku17231,A,X,AX
sku22208,A,Z,AZ
sku16538,A,Z,AZ
sku5324,A,Y,AY
sku6012,A,Z,AZ
sku8146,A,X,AX
sku17558,A,Z,AZ
sku23142,A,Z,AZ
sku8159,A,Z,AZ
sku10097,A,Z,AZ
sku22173,A,X,AX
sku767,A,X,AX
sku25704,A,Z,AZ
sku20519,A,Z,AZ
sku1277,A,Z,AZ
sku29856,A,Y,AY
sku9057,A,Z,AZ
sku24042,A,Z,AZ
sku25418,A,Z,AZ
sku19934,A,Z,AZ
sku26841,A,Z,AZ
sku4786,A,X,AX
sku4416,A,Z,AZ
sku6830,A,Z,AZ
sku13806,A,X,AX
sku3243,A,Z,AZ
sku28432,A,Z,AZ
sku6420,A,Z,AZ
sku30008,A,Z,AZ
sku3397,A,Z,AZ
sku29932,A,X,AX
sku5408,A,Z,AZ
sku24343,A,Z,AZ
sku23117,A,Z,AZ
sku8354,A,Z,AZ
sku18140,A,Z,AZ
sku18212,A,Z,AZ
sku16079,A,Z,AZ
sku23213,A,X,AX
sku9689,A,Z,AZ
sku23883,A,X,AX
sku13085,A,Z,AZ
sku1955,A,X,AX
sku4187,A,X,AX
sku16314,A,X,AX
sku5403,A,Z,AZ
sku6834,A,X,AX
sku18850,A,X,AX
sku16598,A,X,AX
sku23319,A,X,AX
sku30513,A,Z,AZ
sku28013,A,Z,AZ
sku11004,A,Z,AZ
sku9685,A,Z,AZ
sku15942,A,Z,AZ
sku5374,A,X,AX
sku885,A,Z,AZ
sku27209,A,Z,AZ
sku6950,A,Z,AZ
sku906,A,X,AX
sku9832,A,Z,AZ
sku19372,A,Z,AZ
sku2473,A,Z,AZ
sku12097,A,Z,AZ
sku29329,A,Z,AZ
sku4798,A,Y,AY
sku18964,A,X,AX
sku16425,A,Z,AZ
sku5440,A,Z,AZ
sku28287,A,X,AX
sku1585,A,Z,AZ
sku19366,A,Y,AY
sku7573,A,Z,AZ
sku9958,A,Z,AZ
sku30017,A,Z,AZ
sku18571,A,X,AX
sku8579,A,X,AX
sku19199,A,X,AX
sku8166,A,X,AX
sku6416,A,X,AX
sku18300,A,Z,AZ
sku7488,A,Z,AZ
sku14640,A,Z,AZ
sku3211,A,X,AX
sku6770,A,Z,AZ
sku8578,A,Y,AY
sku30532,A,Z,AZ
sku7333,A,Z,AZ
sku18084,A,X,AX
sku14695,A,Z,AZ
sku24179,A,Z,AZ
sku25537,A,Z,AZ
sku29094,A,Z,AZ
sku26028,A,Z,AZ
sku550,A,Z,AZ
sku17562,A,Y,AY
sku13016,A,Z,AZ
sku14837,A,Y,AY
sku21426,A,Z,AZ
sku24700,A,Z,AZ
sku29962,A,Z,AZ
sku24385,A,X,AX
sku25146,A,X,AX
sku17583,A,X,AX
sku28814,A,Z,AZ
sku8752,A,Z,AZ
sku1265,A,X,AX
sku21507,A,Z,AZ
sku7321,A,Z,AZ
sku478,A,Z,AZ
sku28944,A,X,AX
sku25349,A,Z,AZ
sku5918,A,X,AX
sku21422,A,Z,AZ
sku1634,A,Z,AZ
sku14617,A,Z,AZ
sku27371,A,X,AX
sku24584,A,Z,AZ
sku22828,A,X,AX
sku14107,A,Z,AZ
sku9787,A,Z,AZ
sku10683,A,Y,AY
sku7874,A,Z,AZ
sku5462,A,Z,AZ
sku30378,A,Z,AZ
sku859,A,Z,AZ
sku1351,A,Z,AZ
sku6051,A,X,AX
sku24855,A,Z,AZ
sku3771,A,Z,AZ
sku9465,A,Z,AZ
sku7884,A,X,AX
sku13383,A,Z,AZ
sku15188,A,X,AX
sku22279,A,Z,AZ
sku7315,A,Z,AZ
sku27930,A,Z,AZ
sku6316,A,X,AX
sku21414,A,Y,AY
sku17674,A,Z,AZ
sku11277,A,Z,AZ
sku2339,A,Z,AZ
sku23200,A,Z,AZ
sku25361,A,X,AX
sku22829,A,Y,AY
sku17233,A,Z,AZ
sku21216,A,Z,AZ
sku3569,A,Z,AZ
sku14706,A,Z,AZ
sku14115,A,Z,AZ
sku8963,A,X,AX
sku19447,A,X,AX
sku697,A,Z,AZ
sku5903,A,Z,AZ
sku13941,A,Z,AZ
sku28734,A,X,AX
sku1799,A,Z,AZ
sku10573,A,X,AX
sku8816,A,Y,AY
sku17782,A,X,AX
sku14878,A,Z,AZ
sku3459,A,X,AX
sku12570,A,Z,AZ
sku7572,A,Z,AZ
sku29620,A,X,AX
sku26806,A,X,AX
sku15904,A,X,AX
sku22214,A,X,AX
sku13695,A,Z,AZ
sku1947,A,Z,AZ
sku17654,A,Z,AZ
sku1209,A,Z,AZ
sku22411,A,Z,AZ
sku13851,A,Z,AZ
sku20316,A,Z,AZ
sku21237,A,Z,AZ
sku3395,A,X,AX
sku5009,A,Z,AZ
sku25902,A,X,AX
sku14274,A,X,AX
sku23893,A,Z,AZ
sku13557,A,Z,AZ
sku13211,A,Z,AZ
sku21098,A,Z,AZ
sku21288,A,Z,AZ
sku23717,A,Z,AZ
sku18023,A,Z,AZ
sku20430,A,Z,AZ
sku22394,A,Y,AY
sku27774,A,Z,AZ
sku21164,A,X,AX
sku4947,A,Z,AZ
sku6093,A,X,AX
sku799,A,X,AX
sku14206,A,Z,AZ
sku4633,A,Z,AZ
sku6732,A,Z,AZ
sku7322,A,Z,AZ
sku29117,A,X,AX
sku10536,A,Z,AZ
sku27907,A,X,AX
sku12414,A,X,AX
sku13431,A,X,AX
sku13840,A,X,AX
sku878,A,Z,AZ
sku25726,A,Z,AZ
sku19926,A,X,AX
sku1628,A,Z,AZ
sku13899,A,X,AX
sku1010,A,Z,AZ
sku1906,A,Z,AZ
sku13119,A,X,AX
sku11109,A,Z,AZ
sku12939,A,Z,AZ
sku24823,A,Z,AZ
sku19611,A,Z,AZ
sku16859,A,Z,AZ
sku29738,A,X,AX
sku9350,A,Z,AZ
sku13879,A,X,AX
sku28584,A,X,AX
sku5452,A,X,AX
sku30317,A,Z,AZ
sku21790,A,X,AX
sku20495,A,X,AX
sku20928,A,Z,AZ
sku30565,A,X,AX
sku23892,A,Y,AY
sku6849,A,Z,AZ
sku763,A,Z,AZ
sku22761,A,Z,AZ
sku15801,A,Z,AZ
sku15114,A,X,AX
sku27764,A,Z,AZ
sku15935,A,Z,AZ
sku4020,A,X,AX
sku4976,A,Z,AZ
sku24830,A,X,AX
sku2237,A,X,AX
sku23961,A,Z,AZ
sku4894,A,Z,AZ
sku27019,A,Z,AZ
sku20120,A,Z,AZ
sku14960,A,Y,AY
sku21250,A,X,AX
