clientID,quantity,amount,visits
client1,9,2273,1
client10,3,4757,1
client100,7,8063,3
client1000,309,44853,16
client10000,5,8495,1
client10001,33,1874,5
client10002,25,5850,4
client10003,586,57061,41
client10004,61,9495,12
client10005,35,5264,6
client10006,27,4493,1
client10007,19,26944,4
client10008,1,2999,1
client10009,1,1799,1
client1001,177,35510,37
client10010,11,8298,1
client10011,32,30050,7
client10012,87,34256,27
client10013,16,2502,3
client10014,13,2206,3
client10015,68,13398,7
client10016,296,56579,15
client10017,42,11394,12
client10018,181,76025,23
client10019,39,16480,4
client1002,23,2558,3
client10020,35,12270,4
client10021,1,7499,1
client10022,5,381,1
client10023,407,94824,33
client10024,10,2593,1
client10025,4,3666,1
client10026,7,1223,1
client10027,12,3960,2
client10028,61,8744,8
client10029,26,3435,2
client1003,49,5901,7
client10030,36,2745,5
client10031,97,26596,23
client10032,1,29,1
client10033,5,645,1
client10034,12,8279,2
client10035,6,429,2
client10036,29,12897,3
client10037,71,53059,16
client10038,11,1184,3
client10039,19,1305,2
client1004,17,2883,2
client10040,4,1756,1
client10041,27,13449,2
client10042,21,3766,1
client10043,2,274,1
client10044,1,548,1
client10045,35,930,2
client10046,4,1596,1
client10047,1,4399,1
client10048,58,33856,7
client10049,44,13250,8
client1005,87,5276,5
client10050,80,16405,12
client10051,162,42334,4
client10052,3,8047,1
client10053,286,19513,36
client10054,1,1059,1
client10055,34,10031,9
client10056,4,1106,1
client10057,2,638,1
client10058,9,1254,1
client10059,65,10783,7
client1006,8,1112,1
client10060,39,3340,2
client10061,16,5462,5
client10062,19,5007,2
client10063,19,5198,5
client10064,3,135,1
client10065,13,1336,2
client10066,6,1422,1
client10067,22,21294,1
client10068,19,10027,3
client10069,2,1280,2
client1007,37,9686,6
client10070,99,14764,23
client10071,34,2991,8
client10072,105,43191,8
client10073,36,4467,5
client10074,1,3999,1
client10075,38,9272,6
client10076,31,25711,11
client10077,74,22558,11
client10078,119,16102,9
client10079,9,1731,2
client1008,7,4149,3
client10080,20,4804,4
client10081,14,2932,1
client10082,44,19403,7
client10083,39,10683,6
client10084,5,375,1
client10085,3,463,2
client10086,67,29273,12
client10087,261,50360,20
client10088,17,1714,1
client10089,32,13219,8
client1009,72,24700,9
client10090,19,2257,5
client10091,57,6820,13
client10092,1,999,1
client10093,56,8131,8
client10094,3,1797,1
client10095,42,5578,5
client10096,2,15889,1
client10097,117,26095,21
client10098,35,10203,4
client10099,110,33742,24
client101,8,2728,3
client1010,5,1047,2
client10100,110,64033,8
client10101,3,177,1
client10102,1,99,1
client10103,47,19876,3
client10104,40,4135,4
client10105,14,8246,1
client10106,2,1118,1
client10107,314,38389,44
client10108,10,3443,2
client10109,1,7999,1
client1011,64,25400,24
client10110,1,4499,1
client10111,2,1618,1
client10112,127,39058,26
client10113,5,729,1
client10114,2,714,1
client10115,14,1290,2
client10116,34,19326,9
client10117,22,12792,9
client10118,17,1813,1
client10119,109,28132,18
client1012,127,18498,8
client10120,174,102483,15
client10121,6,1694,1
client10122,6,1193,1
client10123,196,53242,40
client10124,64,9102,2
client10125,391,102929,27
client10126,11,1577,1
client10127,27,3211,1
client10128,179,46493,23
client10129,501,16697,12
client1013,256,62306,32
client10130,69,4973,9
client10131,176,48641,32
client10132,306,22935,45
client10133,12,1908,1
client10134,7,6264,1
client10135,25,18425,11
client10136,8,2052,2
client10137,12,1867,1
client10138,2,368,1
client10139,28,6993,3
client1014,295,79959,17
client10140,33,4293,3
client10141,57,5459,1
client10142,6,654,2
client10143,60,14395,14
client10144,69,19173,9
client10145,283,123031,20
client10146,35,4806,4
client10147,91,8086,15
client10148,20,4800,5
client10149,4,539,2
client1015,216,37246,21
client10150,14,3906,4
client10151,2,3354,1
client10152,64,16453,4
client10153,2,1598,1
client10154,59,7303,7
client10155,79,39178,5
client10156,32,26950,4
client10157,13,6603,2
client10158,20,1008,1
client10159,3,1319,1
client1016,10,806,1
client10160,9,2479,2
client10161,159,23099,39
client10162,42,4944,5
client10163,139,42473,20
client10164,25,6109,1
client10165,29,15098,3
client10166,15,10541,2
client10167,7,1217,2
client10168,180,35137,29
client10169,29,1940,1
client1017,7,15768,2
client10170,5,1095,1
client10171,46,14354,10
client10172,43,18856,10
client10173,74,5593,4
client10174,30,4514,3
client10175,2,238,1
client10176,12,1276,1
client10177,1,299,1
client10178,3,3627,2
client10179,21,4690,5
client1018,4,2488,1
client10180,11,9221,1
client10181,1,1399,1
client10182,67,13918,19
client10183,30,1223,1
client10184,4,886,1
client10185,1,319,1
client10186,38,11706,7
client10187,105,25453,5
client10188,104,25890,8
client10189,73,23851,6
client1019,81,19382,6
client10190,65,7954,15
client10191,18,2268,1
client10192,79,8236,5
client10193,4,12696,3
client10194,3,3097,2
client10195,118,7025,16
client10196,57,14791,20
client10197,134,35482,17
client10198,37,10401,4
client10199,135,17691,30
client102,2,2354,1
client1020,20,10920,1
client10200,9,2111,2
client10201,20,2521,2
client10202,13,2345,5
client10203,85,26608,12
client10204,344,36542,19
client10205,104,32868,9
client10206,115,104345,21
client10207,155,44294,10
client10208,41,26474,3
client10209,11,4133,2
client1021,18,11834,8
client10210,26,12218,7
client10211,4,267,1
client10212,40,10277,4
client10213,17,3498,2
client10214,34,4071,6
client10215,2,7548,1
client10216,22,6210,4
client10217,67,5664,5
client10218,47,6107,2
client10219,1,299,1
client1022,14,13194,3
client10220,49,22316,13
client10221,8,4533,2
client10222,2,15798,1
client10223,18,3848,2
client10224,66,16819,11
client10225,10,14209,4
client10226,4,8896,3
client10227,5,13466,1
client10228,26,1107,2
client10229,53,3995,4
client1023,8,932,1
client10230,2,258,1
client10231,1522,241362,50
client10232,20,4643,2
client10233,19,667,4
client10234,66,12641,5
client10235,91,9313,11
client10236,3,397,2
client10237,33,5700,10
client10238,20,7966,5
client10239,4,220,1
client1024,72,30073,3
client10240,37,20885,5
client10241,26,3399,2
client10242,98,23513,7
client10243,4,1356,1
client10244,52,26483,11
client10245,9,4731,2
client10246,23,4877,2
client10247,4,1596,2
client10248,169,35631,20
client10249,34,5615,5
client1025,9,2057,2
client10250,1,136,1
client10251,158,18951,17
client10252,161,105944,3
client10253,2,94,1
client10254,154,24178,16
client10255,33,4980,2
client10256,1,999,1
client10257,4,2232,1
client10258,4,556,1
client10259,5,1215,1
client1026,27,13584,5
client10260,57,9281,3
client10261,79,13844,4
client10262,9,2691,2
client10263,235,111630,23
client10264,1,149,1
client10265,384,30968,15
client10266,2,6499,1
client10267,9,1949,5
client10268,4,3961,1
client10269,26,15558,3
client1027,7,518,1
client10270,18,4667,4
client10271,23,2755,5
client10272,1,1299,1
client10273,70,19490,10
client10274,30,8035,3
client10275,29,15683,8
client10276,12,7848,2
client10277,4,3566,2
client10278,33,684,1
client10279,76,7172,10
client1028,20,4836,1
client10280,163,128148,8
client10281,3,539,2
client10282,7,2888,2
client10283,67,27974,8
client10284,14,19154,2
client10285,9,1461,2
client10286,4,2852,2
client10287,31,2768,2
client10288,9,11169,2
client10289,27,27821,5
client1029,19,2568,4
client10290,1,6499,1
client10291,6,1304,3
client10292,15,2284,4
client10293,15,9086,2
client10294,24,1450,3
client10295,7,1393,1
client10296,11,10385,3
client10297,198,33198,19
client10298,117,21764,7
client10299,3,8696,2
client103,166,20841,12
client1030,10,3740,2
client10300,26,13546,5
client10301,17,4433,5
client10302,10,2341,4
client10303,21,30251,3
client10304,12,9892,2
client10305,6,1474,3
client10306,4,1126,1
client10307,830,348586,44
client10308,11,1124,1
client10309,53,13334,5
client1031,57,2675,4
client10310,10,2630,1
client10311,7,4949,1
client10312,22,4855,2
client10313,20,17657,5
client10314,14,13446,4
client10315,1,1499,1
client10316,3,997,1
client10317,20,2480,1
client10318,9,4893,1
client10319,9,1191,3
client1032,13,2553,2
client10320,24,3102,1
client10321,7,1215,2
client10322,18,2968,8
client10323,67,13907,5
client10324,1,9990,1
client10325,3,337,1
client10326,10,7820,1
client10327,1,2999,1
client10328,3,19088,1
client10329,4,82,2
client1033,38,15932,2
client10330,46,8002,3
client10331,226,57987,17
client10332,30,11793,1
client10333,76,11756,5
client10334,16,2384,1
client10335,2,5148,1
client10336,48,4556,6
client10337,23,6110,4
client10338,25,4176,6
client10339,153,10917,21
client1034,8,3990,1
client10340,123,60970,26
client10341,2,258,1
client10342,23,1907,2
client10343,41,9391,8
client10344,9,4257,2
client10345,45,40889,2
client10346,25,3032,3
client10347,3,657,1
client10348,1,249,1
client10349,13,8687,1
client1035,123,33603,8
client10350,83,9886,11
client10351,44,18331,4
client10352,16,3804,1
client10353,6,3547,1
client10354,21,1951,1
