client,event
client1,0
client10,0
client100,1
client1000,1
client10000,0
client10001,0
client10002,0
client10003,0
client10004,0
client10005,1
client10006,0
client10007,0
client10008,0
client10009,0
client1001,0
client10010,0
client10011,1
client10012,0
client10013,0
client10014,0
client10015,0
client10016,1
client10017,1
client10018,1
client10019,0
client1002,0
client10020,0
client10021,0
client10022,0
client10023,1
client10024,0
client10025,0
client10026,0
client10027,0
client10028,0
client10029,0
client1003,0
client10030,0
client10031,0
client10032,1
client10033,0
client10034,0
client10035,1
client10036,0
client10037,0
client10038,0
client10039,1
client1004,0
client10040,0
client10041,0
client10042,0
client10043,0
client10044,0
client10045,0
client10046,0
client10047,0
client10048,0
client10049,0
client1005,0
client10050,0
client10051,0
client10052,0
client10053,1
client10054,0
client10055,1
client10056,0
client10057,0
client10058,0
client10059,1
client1006,0
client10060,0
client10061,0
client10062,0
client10063,0
client10064,0
client10065,0
client10066,0
client10067,0
client10068,0
client10069,0
client1007,0
client10070,0
client10071,1
client10072,0
client10073,0
client10074,0
client10075,0
client10076,1
client10077,1
client10078,0
client10079,1
client1008,1
client10080,0
client10081,0
client10082,0
client10083,0
client10084,0
client10085,0
client10086,0
client10087,1
client10088,0
client10089,1
client1009,0
client10090,1
client10091,1
client10092,0
client10093,0
client10094,0
client10095,0
client10096,0
client10097,1
client10098,0
client10099,0
client101,0
client1010,0
client10100,1
client10101,0
client10102,1
client10103,0
client10104,0
client10105,0
client10106,0
client10107,1
client10108,0
client10109,0
client1011,1
client10110,0
client10111,0
client10112,1
client10113,1
client10114,0
client10115,0
client10116,0
client10117,1
client10118,0
client10119,0
client1012,0
client10120,1
client10121,0
client10122,0
client10123,1
client10124,0
client10125,1
client10126,0
client10127,0
client10128,1
client10129,0
client1013,1
client10130,0
client10131,0
client10132,1
client10133,0
client10134,0
client10135,1
client10136,0
client10137,0
client10138,1
client10139,0
client1014,0
client10140,0
client10141,0
client10142,1
client10143,0
client10144,1
client10145,0
client10146,0
client10147,0
client10148,1
client10149,0
client1015,0
client10150,1
client10151,0
client10152,0
client10153,0
client10154,1
client10155,0
client10156,0
client10157,0
client10158,0
client10159,0
client1016,0
client10160,0
client10161,1
client10162,0
client10163,1
client10164,0
client10165,0
