client,probability_return,predicted_class,Recency,Frequency,Monetary,total_quantity,unique_items
client41126,0.47867015,0,3,54,276436,1025,126
client28721,0.4739813,0,3,61,97931,511,156
client11168,0.4739813,0,3,98,71258,401,145
client26714,0.4739813,0,3,30,77837,381,124
client16905,0.4739813,0,3,64,100654,554,129
client12397,0.4739813,0,3,60,137506,497,153
client35056,0.4739813,0,3,26,85773,458,168
client32063,0.4739813,0,3,25,55459,445,119
client45,0.4739813,0,3,44,124023,439,126
client31260,0.4739813,0,3,47,129682,441,116
client38092,0.4739813,0,3,49,69036,392,118
client22818,0.4739813,0,3,61,69127,419,150
client31472,0.4739813,0,3,44,71069,359,134
client12222,0.4739813,0,3,34,70905,367,135
client26422,0.4739813,0,3,44,96076,551,125
client10939,0.46715105,0,3,76,261408,1081,201
client33222,0.46715105,0,3,60,190828,1038,235
client31864,0.46715105,0,3,57,166518,846,224
client3934,0.46715105,0,3,49,169241,732,247
client24815,0.46715105,0,3,97,175429,1100,282
client9021,0.46715105,0,3,66,200014,736,276
client38188,0.4670739,0,5,34,207288,739,124
client6431,0.4670739,0,5,71,187651,687,148
client37481,0.46247488,0,3,52,107710,433,187
client40657,0.46239784,0,5,34,142945,453,110
client18201,0.46239784,0,4,76,117690,568,133
client36168,0.46239784,0,5,57,137294,399,159
client800,0.46239784,0,4,58,139147,416,159
client17254,0.46239784,0,5,29,106104,374,110
client31942,0.46239784,0,4,48,68819,392,139
client22253,0.46239784,0,5,45,117208,497,131
client5781,0.46239784,0,5,34,116749,410,125
client10707,0.46239784,0,5,52,85427,370,129
client21655,0.46239784,0,5,21,80090,445,112
client18322,0.46239784,0,4,66,128997,472,176
client2561,0.46239784,0,5,75,95334,384,110
client18390,0.46239784,0,5,41,101098,415,138
client3521,0.46239784,0,4,51,84673,428,160
client19269,0.46239784,0,5,84,58988,405,144
client29871,0.46239784,0,5,64,152873,363,166
client18576,0.46239784,0,4,34,104243,578,166
client28118,0.46239784,0,4,54,61855,497,116
client42103,0.46239784,0,5,63,89498,356,137
client16906,0.46239784,0,4,58,116457,449,124
client38201,0.46239784,0,5,37,75750,379,124
client11769,0.46071908,0,4,10,121343,454,19
client28574,0.45916417,0,3,51,35727,365,116
client15563,0.457806,0,3,36,65193,277,116
client17953,0.457806,0,3,32,62542,250,114
client19582,0.457806,0,3,23,86195,192,120
client35786,0.457806,0,3,71,52567,275,133
client14694,0.457806,0,3,38,59272,270,125
client13557,0.457806,0,3,34,83870,266,166
client27038,0.457806,0,3,59,94319,261,116
client25428,0.457806,0,3,32,124025,302,113
client31050,0.457806,0,3,35,53157,345,138
client32425,0.45612973,0,3,6,83958,208,11
client3353,0.45558995,0,4,81,240203,1095,308
client17131,0.45558995,0,4,66,224816,665,189
client37602,0.45558995,0,5,90,196030,952,283
client39975,0.45558995,0,4,81,184441,1499,217
client625,0.45558995,0,4,70,281904,842,228
client33088,0.45558995,0,5,133,249284,1151,186
client40930,0.45093158,0,4,48,133343,546,220
client22983,0.45093158,0,5,69,88571,526,195
client32133,0.45093158,0,4,53,121052,516,267
client37325,0.45093158,0,5,64,104918,465,190
client18154,0.45093158,0,5,115,161175,627,287
client11690,0.45093158,0,5,57,149301,552,224
client8050,0.45093158,0,4,49,91969,519,183
client2156,0.45093158,0,5,55,89202,503,201
client37720,0.44882473,0,4,11,68644,412,38
client4211,0.44882473,0,4,14,66940,421,42
client23919,0.44635907,0,3,29,93659,324,199
client25667,0.4462825,0,4,42,58542,242,120
client12503,0.4462825,0,5,31,101258,341,122
client16895,0.4462825,0,5,19,72139,247,153
client9790,0.4462825,0,5,32,51569,228,131
client28760,0.4462825,0,5,27,145447,285,120
client38762,0.4462825,0,4,25,68482,279,115
client41293,0.4462825,0,5,8,87132,332,121
client6033,0.4462825,0,4,73,60319,220,120
client3356,0.4462825,0,4,71,72072,263,125
client67,0.4462825,0,4,45,73009,300,127
client27063,0.4462825,0,5,36,60188,349,130
client39768,0.4462825,0,5,31,98723,346,149
client7117,0.4462825,0,5,42,55066,278,134
client21644,0.4462825,0,4,50,97914,310,151
client28204,0.44461387,0,4,10,100012,190,20
client6074,0.44425625,0,3,10,111485,188,39
client29149,0.44425625,0,3,13,57975,291,40
client4675,0.44425625,0,3,10,61834,241,42
client30443,0.44425625,0,3,24,75379,253,43
client12739,0.44425464,0,3,40,112711,655,173
client23286,0.4430686,0,3,38,36157,255,132
client37651,0.4430686,0,3,35,43356,270,116
client3082,0.44262782,0,3,88,225643,472,181
client26037,0.4425514,0,5,17,172231,620,121
client15265,0.4425514,0,4,43,175503,411,116
client30689,0.43825105,0,5,28,43524,245,144
client4504,0.43825105,0,4,15,48623,260,156
client4956,0.43825105,0,4,22,48626,210,114
client42450,0.43753782,0,3,168,119563,548,101
client18052,0.43753782,0,3,24,81579,352,105
client37232,0.43753782,0,3,47,119358,381,96
client26676,0.43753782,0,3,42,78959,386,84
client9706,0.43753782,0,3,42,106232,390,96
client35973,0.43753782,0,3,51,88940,392,88
client13729,0.43753782,0,3,35,159272,400,83
client14276,0.43753782,0,3,48,98434,482,75
client18437,0.43753782,0,3,35,136010,511,102
client34160,0.4342765,0,3,3,46469,194,9
client34572,0.43329123,0,6,69,133088,411,141
client41168,0.43329123,0,6,42,120995,590,110
client16129,0.43329123,0,6,44,72558,363,126
client5697,0.43329123,0,6,31,122302,439,120
client40275,0.43329123,0,6,53,72467,354,169
client3884,0.43329123,0,6,47,118775,425,135
client15738,0.43329123,0,6,50,136915,589,169
client31144,0.43329123,0,6,44,72646,491,125
client14583,0.43329123,0,6,65,119058,601,173
client30936,0.43329123,0,6,41,57539,466,166
client40017,0.432876,0,3,74,153254,763,311
client24966,0.432876,0,3,86,145415,858,257
client2816,0.43279994,0,5,68,131294,721,157
client36956,0.43279994,0,4,61,126123,906,117
client22555,0.43245792,0,1,40,175051,809,168
client25,0.43245792,0,1,54,191966,679,153
client34721,0.43245792,0,1,99,212255,863,150
client17719,0.43245792,0,2,28,235355,1366,121
client21359,0.43245792,0,1,48,352441,804,136
client35976,0.4321911,0,4,11,36942,588,31
client27711,0.43162075,0,5,31,36809,250,122
client38267,0.43118253,0,5,72,196675,595,211
client7430,0.43072665,0,4,37,188978,762,82
client20988,0.43072665,0,4,35,405102,921,82
client14253,0.42960945,0,3,15,34941,197,40
client9998,0.42960945,0,3,32,38666,248,37
client29391,0.42960945,0,3,15,38505,182,42
client22321,0.42960945,0,3,29,37733,201,42
client34539,0.42785025,0,2,24,87201,407,111
client35442,0.42785025,0,2,40,100900,527,116
client14897,0.42785025,0,2,37,89672,353,127
client308,0.42785025,0,2,53,101539,428,146
client40111,0.42785025,0,2,63,125018,500,168
client40977,0.42785025,0,2,21,76669,615,117
client20075,0.42785025,0,1,57,54843,352,116
client8609,0.42785025,0,2,68,79420,638,128
client27654,0.42785025,0,2,63,54525,382,153
client14753,0.42785025,0,2,35,112472,532,150
client4997,0.42785025,0,1,36,153298,545,132
client8536,0.42785025,0,2,38,91924,382,130
client39967,0.42785025,0,1,34,74227,384,149
client30065,0.42785025,0,2,35,69002,393,153
client38229,0.42785025,0,1,48,106785,459,170
