client,last_visit,visits,unique_visits,amount,quantity,items,weekends,Recency,Frequency,Monetary,avg_check,avg_items,last_visit_amount
client1,2018-01-22,4,1,2273,9,4,0,617,1,2273,2273.0,9.0,29
client10,2019-08-05,3,1,4757,3,3,0,57,1,4757,4757.0,3.0,79
client100,2019-05-08,1,1,7299,1,1,0,146,1,7299,7299.0,1.0,7299
client1000,2019-09-14,36,13,36495,166,31,16,17,13,36495,2807.3076923076924,12.76923076923077,1955
client10000,2018-08-01,5,1,8495,5,5,0,426,1,8495,8495.0,5.0,599
client10001,2019-08-11,18,5,1874,33,18,17,51,5,1874,374.8,6.6,179
client10002,2019-05-30,18,4,5850,25,18,9,124,4,5850,1462.5,6.25,12
client10003,2019-09-12,153,41,57061,586,110,13,19,41,57061,1391.7317073170732,14.292682926829269,855
client10004,2019-09-29,44,12,9495,61,41,19,2,12,9495,791.25,5.083333333333333,796
client10005,2019-05-08,24,5,4846,33,22,0,146,5,4846,969.2,6.6,25
client10006,2018-08-05,6,1,4493,27,6,6,422,1,4493,4493.0,27.0,79
client10007,2019-08-06,18,4,26944,19,18,13,56,4,26944,6736.0,4.75,699
client10008,2019-08-14,1,1,2999,1,1,0,48,1,2999,2999.0,1.0,2999
client10009,2019-02-12,1,1,1799,1,1,0,231,1,1799,1799.0,1.0,1799
client1001,2019-06-25,93,37,35510,177,82,25,98,37,35510,959.7297297297297,4.783783783783784,239
client10010,2019-02-08,2,1,8298,11,2,0,235,1,8298,8298.0,11.0,6903
client10011,2019-09-03,5,1,10962,12,5,0,28,1,10962,10962.0,12.0,9999
client10012,2019-09-24,54,27,34256,87,37,17,7,27,34256,1268.7407407407406,3.2222222222222223,49
client10013,2018-08-20,9,3,2502,16,9,4,407,3,2502,834.0,5.333333333333333,236
client10014,2018-09-09,11,3,2206,13,11,10,387,3,2206,735.3333333333334,4.333333333333333,258
client10015,2019-07-08,33,7,13398,68,29,16,85,7,13398,1914.0,9.714285714285714,435
client10016,2019-05-19,72,14,56180,295,62,34,135,14,56180,4012.8571428571427,21.071428571428573,474
client10017,2019-07-19,22,9,5979,30,21,3,74,9,5979,664.3333333333334,3.3333333333333335,2999
client10018,2019-09-07,58,19,69149,147,55,22,24,19,69149,3639.4210526315787,7.7368421052631575,158
client10019,2019-06-10,22,4,16480,39,22,6,113,4,16480,4120.0,9.75,1999
client1002,2019-05-06,23,3,2558,23,20,0,148,3,2558,852.6666666666666,7.666666666666667,239
client10020,2019-03-07,19,4,12270,35,18,9,208,4,12270,3067.5,8.75,33
client10021,2019-02-22,1,1,7499,1,1,0,221,1,7499,7499.0,1.0,7499
client10022,2017-09-03,5,1,381,5,5,5,758,1,381,381.0,5.0,99
client10023,2019-09-30,117,32,94474,406,89,59,1,32,94474,2952.3125,12.6875,29
client10024,2019-06-19,5,1,2593,10,5,0,104,1,2593,2593.0,10.0,19
client10025,2018-03-25,4,1,3666,4,4,4,555,1,3666,3666.0,4.0,1699
client10026,2017-11-26,4,1,1223,7,4,4,674,1,1223,1223.0,7.0,169
client10027,2018-09-12,7,2,3960,12,7,0,384,2,3960,1980.0,6.0,149
client10028,2019-07-09,21,8,8744,61,19,6,84,8,8744,1093.0,7.625,319
client10029,2019-07-22,10,2,3435,26,10,0,71,2,3435,1717.5,13.0,699
client1003,2019-04-27,28,7,5901,49,27,19,157,7,5901,843.0,7.0,409
client10030,2019-06-06,15,5,2745,36,11,3,117,5,2745,549.0,7.2,269
client10031,2019-08-13,58,23,26596,97,53,16,49,23,26596,1156.3478260869565,4.217391304347826,62
client10033,2018-09-11,1,1,645,5,1,0,385,1,645,645.0,5.0,645
client10034,2019-09-15,4,2,8279,12,4,4,16,2,8279,4139.5,6.0,297
client10036,2018-03-13,9,3,12897,29,9,0,567,3,12897,4299.0,9.666666666666666,169
client10037,2019-09-29,42,16,53059,71,36,12,2,16,53059,3316.1875,4.4375,4399
client10038,2019-05-06,5,3,1184,11,5,1,148,3,1184,394.6666666666667,3.6666666666666665,44
client10039,2019-09-12,4,1,540,14,4,0,19,1,540,540.0,14.0,192
client1004,2019-01-27,7,2,2883,17,7,7,247,2,2883,1441.5,8.5,198
client10040,2018-07-15,2,1,1756,4,2,2,443,1,1756,1756.0,4.0,1099
client10041,2018-08-23,20,2,13449,27,19,0,404,2,13449,6724.5,13.5,229
client10042,2018-05-03,14,1,3766,21,14,0,516,1,3766,3766.0,21.0,13
client10043,2019-05-12,2,1,274,2,2,2,142,1,274,274.0,2.0,49
client10044,2018-04-15,1,1,548,1,1,1,534,1,548,548.0,1.0,548
client10045,2019-07-14,5,2,930,35,5,2,79,2,930,465.0,17.5,95
client10046,2019-01-11,1,1,1596,4,1,0,263,1,1596,1596.0,4.0,1596
client10047,2019-05-16,1,1,4399,1,1,0,138,1,4399,4399.0,1.0,4399
client10048,2019-09-30,36,7,33856,58,36,12,1,7,33856,4836.571428571428,8.285714285714286,369
client10049,2019-07-26,24,8,13250,44,19,3,67,8,13250,1656.25,5.5,319
client1005,2018-12-09,58,5,5276,87,57,11,296,5,5276,1055.2,17.4,68
client10050,2019-06-06,73,12,16405,80,71,18,117,12,16405,1367.0833333333333,6.666666666666667,15
client10051,2019-04-27,56,4,42334,162,51,26,157,4,42334,10583.5,40.5,196
client10052,2019-06-29,3,1,8047,3,3,3,94,1,8047,8047.0,3.0,399
client10053,2019-09-28,197,34,19117,279,159,65,3,34,19117,562.2647058823529,8.205882352941176,69
client10054,2019-03-05,1,1,1059,1,1,0,210,1,1059,1059.0,1.0,1059
client10055,2018-09-15,12,8,7057,30,8,4,381,8,7057,882.125,3.75,1260
client10056,2018-11-03,2,1,1106,4,2,2,332,1,1106,1106.0,4.0,899
client10057,2018-09-12,2,1,638,2,2,0,384,1,638,638.0,2.0,139
client10058,2018-06-05,5,1,1254,9,5,0,483,1,1254,1254.0,9.0,64
client10059,2019-07-09,30,6,8184,64,29,0,84,6,8184,1364.0,10.666666666666666,99
client1006,2017-12-13,1,1,1112,8,1,0,657,1,1112,1112.0,8.0,1112
client10060,2019-02-26,36,2,3340,39,35,0,217,2,3340,1670.0,19.5,13
client10061,2019-05-03,9,5,5462,16,9,2,151,5,5462,1092.4,3.2,159
client10062,2019-05-15,13,2,5007,19,13,0,139,2,5007,2503.5,9.5,22
client10063,2019-06-13,12,5,5198,19,12,0,110,5,5198,1039.6,3.8,59
client10064,2019-06-05,1,1,135,3,1,0,118,1,135,135.0,3.0,135
client10065,2018-08-15,4,2,1336,13,4,0,412,2,1336,668.0,6.5,68
client10066,2018-07-29,4,1,1422,6,4,4,429,1,1422,1422.0,6.0,238
client10067,2019-06-24,7,1,21294,22,7,0,99,1,21294,21294.0,22.0,94
client10068,2019-05-26,7,3,10027,19,7,2,128,3,10027,3342.3333333333335,6.333333333333333,371
client10069,2019-03-04,2,2,1280,2,2,0,211,2,1280,640.0,1.0,55
client1007,2019-07-25,25,6,9686,37,25,6,68,6,9686,1614.3333333333333,6.166666666666667,499
client10070,2019-09-25,72,23,14764,99,67,47,6,23,14764,641.9130434782609,4.304347826086956,229
client10071,2019-08-24,20,7,2163,22,20,10,38,7,2163,309.0,3.142857142857143,143
client10072,2019-09-27,46,8,43191,105,44,11,4,8,43191,5398.875,13.125,29
client10073,2019-09-13,13,5,4467,36,13,0,18,5,4467,893.4,7.2,38
client10074,2019-02-15,1,1,3999,1,1,0,228,1,3999,3999.0,1.0,3999
client10075,2018-04-12,22,6,9272,38,21,2,537,6,9272,1545.3333333333333,6.333333333333333,107
client10076,2019-09-28,14,9,23101,23,12,5,3,9,23101,2566.777777777778,2.5555555555555554,1570
client10077,2019-05-18,35,10,21780,72,34,26,136,10,21780,2178.0,7.2,22
client10078,2019-08-26,30,9,16102,119,29,25,36,9,16102,1789.111111111111,13.222222222222221,999
client10079,2019-04-29,2,1,434,6,2,0,155,1,434,434.0,6.0,89
client1008,2019-09-18,2,2,3896,4,2,0,13,2,3896,1948.0,2.0,2999
client10080,2019-04-07,13,4,4804,20,13,4,177,4,4804,1201.0,5.0,472
client10081,2018-07-22,8,1,2932,14,8,8,436,1,2932,2932.0,14.0,149
client10082,2019-07-24,23,7,19403,44,23,5,69,7,19403,2771.8571428571427,6.285714285714286,58
client10083,2018-12-01,16,6,10683,39,13,12,304,6,10683,1780.5,6.5,339
client10084,2019-03-07,4,1,375,5,4,0,208,1,375,375.0,5.0,29
client10085,2019-08-29,3,2,463,3,3,0,33,2,463,231.5,1.5,135
client10086,2019-04-03,55,12,29273,67,53,24,181,12,29273,2439.4166666666665,5.583333333333333,22
client10087,2019-08-21,175,19,49350,251,159,40,41,19,49350,2597.3684210526317,13.210526315789474,3199
client10088,2019-02-04,14,1,1714,17,14,0,239,1,1714,1714.0,17.0,58
client10089,2019-09-05,7,5,10802,12,6,3,26,5,10802,2160.4,2.4,1199
client1009,2019-07-31,37,9,24700,72,35,15,62,9,24700,2744.4444444444443,8.0,99
client10090,2019-03-31,6,3,1672,14,6,5,184,3,1672,557.3333333333334,4.666666666666667,99
client10091,2019-09-18,18,11,6092,53,15,8,13,11,6092,553.8181818181819,4.818181818181818,70
client10092,2019-05-14,1,1,999,1,1,0,140,1,999,999.0,1.0,999
client10093,2019-05-16,34,8,8131,56,30,3,138,8,8131,1016.375,7.0,210
client10094,2019-09-14,3,1,1797,3,3,3,17,1,1797,1797.0,3.0,699
client10095,2018-06-25,20,5,5578,42,20,2,463,5,5578,1115.6,8.4,398
client10096,2018-05-11,2,1,15889,2,2,0,508,1,15889,15889.0,2.0,11590
client10097,2019-09-04,50,18,23375,106,40,6,27,18,23375,1298.611111111111,5.888888888888889,507
client10098,2019-03-04,22,4,10203,35,22,2,211,4,10203,2550.75,8.75,21
client10099,2019-06-08,66,24,33742,110,63,18,115,24,33742,1405.9166666666667,4.583333333333333,539
client101,2019-03-02,6,3,2728,8,6,2,213,3,2728,909.3333333333334,2.6666666666666665,599
client1010,2018-09-03,4,2,1047,5,4,0,393,2,1047,523.5,2.5,369
client10100,2019-09-08,28,7,52457,98,28,17,23,7,52457,7493.857142857143,14.0,6979
client10101,2019-08-30,1,1,177,3,1,0,32,1,177,177.0,3.0,177
