client,last_visit,visits,unique_visits,amount,quantity,items,weekends,Recency,Frequency,Monetary,avg_check,avg_items,last_visit_amount,event
client1,2018-01-22,4,1,2273,9,4,0,587,1,2273,2273.0,9.0,29,False
client10,2019-08-05,3,1,4757,3,3,0,27,1,4757,4757.0,3.0,4599,False
client100,2019-05-08,1,1,7299,1,1,0,116,1,7299,7299.0,1.0,7299,False
client1000,2019-08-24,32,12,31792,151,28,12,8,12,31792,2649.3333333333335,12.583333333333334,387,True
client10000,2018-08-01,5,1,8495,5,5,0,396,1,8495,8495.0,5.0,5999,False
client10001,2019-08-11,18,5,1874,33,18,17,21,5,1874,374.8,6.6,179,False
client10002,2019-05-30,18,4,5850,25,18,9,94,4,5850,1462.5,6.25,40,False
client10003,2019-08-31,149,39,54360,577,110,13,1,39,54360,1393.8461538461538,14.794871794871796,385,True
client10004,2019-07-28,38,10,7204,50,35,13,35,10,7204,720.4,5.0,79,True
client10005,2019-05-08,24,5,4846,33,22,0,116,5,4846,969.2,6.6,25,False
client10006,2018-08-05,6,1,4493,27,6,6,392,1,4493,4493.0,27.0,87,False
client10007,2019-08-06,18,4,26944,19,18,13,26,4,26944,6736.0,4.75,699,False
client10008,2019-08-14,1,1,2999,1,1,0,18,1,2999,2999.0,1.0,2999,False
client10009,2019-02-12,1,1,1799,1,1,0,201,1,1799,1799.0,1.0,1799,False
client1001,2019-06-25,93,37,35510,177,82,25,68,37,35510,959.7297297297297,4.783783783783784,59,False
client10010,2019-02-08,2,1,8298,11,2,0,205,1,8298,8298.0,11.0,1395,False
client10012,2019-08-19,44,25,32182,68,29,17,13,25,32182,1287.28,2.72,269,True
client10013,2018-08-20,10,3,2502,16,9,4,377,3,2502,834.0,5.333333333333333,118,False
client10014,2018-09-09,11,3,2206,13,11,10,357,3,2206,735.3333333333334,4.333333333333333,258,False
client10015,2019-07-08,34,7,13398,68,29,16,55,7,13398,1914.0,9.714285714285714,58,False
client10016,2019-05-19,72,14,56180,295,62,34,105,14,56180,4012.8571428571427,21.071428571428573,435,False
client10017,2019-07-19,22,9,5979,30,21,3,44,9,5979,664.3333333333334,3.3333333333333335,2999,False
client10018,2019-08-20,41,17,65698,105,38,20,12,17,65698,3864.5882352941176,6.176470588235294,244,True
client10019,2019-06-10,22,4,16480,39,22,6,83,4,16480,4120.0,9.75,1999,False
